"time","delta","opening","opponent_exp","eval_depth","white_elo","black_elo","poi_is_white","termination","index_after_merge"
465,2,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 ",78,20,1274,1333,1,"won by resignation",480
466,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",77,20,1296,1283,0,"won by resignation",275
473,2,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",23,20,1275,1290,1,"won by resignation",371
74,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",4,20,1206,1282,0,"won by resignation",262
216,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",9,20,1273,1245,1,"won by resignation",545
478,0,"1. d4 d5 2. e3 c5 3. dxc5 Nc6 ",1,20,1270,1265,0,"won by resignation",86
427,1,"1. e4 b6 2. d4 Bb7 3. Nc3 Nf6 ",2,20,1273,1247,1,"won by checkmate",128
258,2,"1. e4 c5 2. Nf3 e6 3. d4 cxd4 ",9,20,1265,1269,1,"won by resignation",336
408,2,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",3,20,1256,1239,1,"won by resignation",584
494,0,"1. d4 d5 2. Bf4 c5 3. e3 Nc6 ",14,20,1235,1264,0,"won by resignation",28
474,1,"1. e4 c5 2. d4 cxd4 3. Nf3 Nc6 ",2,20,1250,1272,0,"won by checkmate",183
447,1,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",3,20,1202,1279,0,"won by checkmate",261
523,0,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",58,20,1286,1239,1,"won by resignation",272
419,0,"1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 ",14,20,1293,1254,1,"won by resignation",526
603,1,"1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 ",6,20,1179,1299,0,"won by checkmate",247
315,1,"1. f4 d5 2. e3 Nc6 3. b3 g6 ",1,20,1262,1306,0,"won by checkmate",696
370,1,"1. Nf3 d5 2. d4 c5 3. Bf4 Nc6 ",1,20,1245,1313,0,"won by checkmate",703
79,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",9,20,1320,1283,1,"won by resignation",382
216,2,"1. e4 g6 2. d4 Bg7 3. Nf3 d6 ",5,20,1326,1231,1,"game abandoned",675
551,0,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 ",84,20,1334,1317,1,"won by resignation",482
729,0,"1. e4 c5 2. Bc4 Nc6 3. e5 d5 ",1,20,1273,1324,0,"won by resignation",140
465,2,"1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 ",34,20,1317,1356,1,"won by resignation",693
670,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",3,16,1260,1307,0,"won by resignation",268
408,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",49,20,1300,1346,1,"won by resignation",276
